Total Matches,Wins,Win Percentage
16,10,62.5
45,28,62.22222222222222
238,138,57.98319327731093
261,144,55.172413793103445
44,24,54.54545454545454
91,48,52.74725274725275
251,131,52.191235059760956
221,112,50.678733031674206
182,88,48.35164835164835
240,116,48.333333333333336
15,7,46.666666666666664
190,88,46.31578947368421
30,13,43.333333333333336
14,6,42.857142857142854
56,24,42.857142857142854
161,67,41.61490683229814
75,29,38.666666666666664
14,5,35.714285714285715
46,12,26.08695652173913
