bowler,ball_total,ball_dot,dot_percentage
Suyash Sharma,264,85,32.196969696969695
KM Asif,143,46,32.16783216783217
Mohammad Asif,199,64,32.1608040201005
DT Christian,922,296,32.10412147505423
Shoaib Ahmed,103,33,32.038834951456316
WA Mota,75,24,32.0
GHS Garton,97,31,31.958762886597935
JA Richardson,94,30,31.914893617021278
JM Kemp,47,15,31.914893617021278
V Sehwag,138,44,31.88405797101449
M Pathirana,503,160,31.809145129224653
AF Milne,217,69,31.797235023041477
KV Sharma,1520,483,31.776315789473685
NLTC Perera,715,227,31.74825174825175
Gurkeerat Singh,82,26,31.70731707317073
S Gopal,1000,317,31.7
TS Mills,218,69,31.65137614678899
SK Trivedi,1557,492,31.59922928709056
LI Meriwala,19,6,31.57894736842105
BA Stokes,723,228,31.535269709543567
M Ashwin,898,283,31.514476614699333
BJ Hodge,238,75,31.512605042016805
Akash Deep,175,55,31.428571428571427
S Nadeem,1444,453,31.371191135734072
N Rana,185,58,31.351351351351354
S Kaul,1238,387,31.260096930533116
MC Henriques,979,306,31.256384065372828
S Rana,16,5,31.25
RA Jadeja,3895,1216,31.21951219512195
GJ Maxwell,965,301,31.191709844559583
R McLaren,372,116,31.182795698924732
JD Unadkat,2194,684,31.175934366453966
Mayank Dagar,138,43,31.15942028985507
B Akhil,193,60,31.088082901554404
C Sakariya,460,143,31.08695652173913
HV Patel,2284,710,31.08581436077058
V Shankar,258,80,31.007751937984494
JP Faulkner,1287,399,31.002331002331
AB Agarkar,820,254,30.975609756097562
KH Pandya,2183,676,30.966559780119102
Mukesh Kumar,420,130,30.952380952380953
CH Gayle,584,180,30.82191780821918
Shahid Afridi,185,57,30.810810810810814
Arshad Khan (2),13,4,30.76923076923077
VRV Singh,371,114,30.727762803234505
BA Bhatt,303,93,30.693069306930692
NT Ellis,365,112,30.684931506849317
AA Jhunjhunwala,88,27,30.681818181818183
KK Cooper,600,184,30.666666666666664
BAW Mendis,248,76,30.64516129032258
SM Curran,1234,378,30.63209076175041
KP Appanna,222,68,30.630630630630627
B Geeves,49,15,30.612244897959183
SB Jakati,1101,337,30.60853769300636
JO Holder,1049,321,30.60057197330791
KA Maharaj,36,11,30.555555555555557
PH Solanki,36,11,30.555555555555557
MR Marsh,593,181,30.522765598650924
R Tewatia,866,264,30.484988452655887
KR Mayers,46,14,30.434782608695656
A Zampa,425,129,30.352941176470587
A Flintoff,66,20,30.303030303030305
DJ Bravo,3296,998,30.279126213592235
PV Tambe,674,204,30.267062314540063
DR Smith,557,168,30.16157989228007
M Theekshana,631,190,30.11093502377179
SK Raina,930,280,30.107526881720432
Karanveer Singh,213,64,30.046948356807512
Bipul Sharma,436,131,30.045871559633024
S Joseph,30,9,30.0
Parvez Rasool,200,60,30.0
KP Pietersen,180,54,30.0
P Dubey,67,20,29.850746268656714
T Natarajan,1401,418,29.835831548893648
Gagandeep Singh,84,25,29.761904761904763
Akash Madhwal,279,83,29.749103942652326
Yash Thakur,432,128,29.629629629629626
HF Gurney,169,50,29.585798816568047
R Dhawan,693,205,29.58152958152958
AJ Finch,44,13,29.545454545454547
MJ Henry,105,31,29.523809523809526
DJG Sammy,244,72,29.508196721311474
GC Viljoen,146,43,29.45205479452055
K Santokie,51,15,29.411764705882355
R Sai Kishore,191,56,29.31937172774869
A Ashish Reddy,270,79,29.259259259259256
Yuvraj Singh,882,258,29.25170068027211
R Shukla,130,38,29.230769230769234
SS Agarwal,24,7,29.166666666666668
AJ Tye,714,208,29.13165266106443
Kuldeep Yadav,1786,520,29.11534154535274
J Theron,235,68,28.936170212765955
KMA Paul,180,52,28.888888888888886
AM Nayar,239,69,28.870292887029287
A Mithun,312,90,28.846153846153843
PC Valthaty,153,44,28.75816993464052
Arshad Khan,153,44,28.75816993464052
CJ Jordan,717,206,28.730822873082285
TM Dilshan,275,79,28.72727272727273
RS Bopara,213,61,28.638497652582164
K Kartikeya,241,69,28.63070539419087
LB Williams,42,12,28.57142857142857
FA Allen,91,26,28.57142857142857
R Shepherd,133,38,28.57142857142857
Tejas Baroka,21,6,28.57142857142857
M Markande,737,210,28.493894165535956
N Thushara,172,49,28.488372093023255
JR Hopes,369,105,28.455284552845526
JDS Neesham,222,63,28.37837837837838
K Goel,67,19,28.35820895522388
TL Suman,152,43,28.289473684210524
KT Maphaka,39,11,28.205128205128204
Basil Thampi,539,152,28.200371057513912
A Kamboj,68,19,27.941176470588236
Lalit Yadav,294,82,27.89115646258503
CR Brathwaite,266,74,27.819548872180448
Jalaj S Saxena,18,5,27.77777777777778
AD Mathews,807,224,27.757125154894673
ST Jayasuriya,301,83,27.57475083056478
KJ Abbott,102,28,27.450980392156865
AP Dole,73,20,27.397260273972602
KC Cariappa,224,61,27.232142857142854
OC McCoy,180,49,27.22222222222222
RR Raje,144,39,27.083333333333332
Rasikh Salam,207,56,27.053140096618357
KL Nagarkoti,185,50,27.027027027027028
O Thomas,63,17,26.984126984126984
IC Porel,26,7,26.923076923076923
AC Voges,56,15,26.785714285714285
SC Ganguly,280,75,26.785714285714285
BCJ Cutting,288,77,26.73611111111111
D Wiese,307,82,26.710097719869708
V Viyaskanth,60,16,26.666666666666668
PD Collingwood,90,24,26.666666666666668
Ramandeep Singh,45,12,26.666666666666668
DJ Hussey,323,86,26.625386996904027
AB McDonald,188,50,26.595744680851062
LS Livingstone,267,71,26.591760299625467
Y Venugopal Rao,222,59,26.576576576576578
RN ten Doeschate,83,22,26.506024096385545
MP Stoinis,831,219,26.353790613718413
DJ Hooda,384,101,26.302083333333332
R Bhatia,1661,436,26.249247441300422
Joginder Sharma,272,71,26.10294117647059
AK Markram,123,32,26.01626016260163
C Nanda,50,13,26.0
Vijaykumar Vyshak,243,63,25.925925925925924
Shahbaz Ahmed,549,142,25.865209471766846
Shoaib Malik,58,15,25.862068965517242
KA Pollard,1586,405,25.535939470365697
D Salunkhe,51,13,25.49019607843137
LE Plunkett,154,39,25.324675324675322
D Pretorius,166,42,25.301204819277107
C de Grandhomme,230,58,25.217391304347824
RG Sharma,349,88,25.214899713467048
Abhishek Sharma,278,70,25.179856115107913
JEC Franklin,155,39,25.161290322580644
CJ Anderson,315,79,25.07936507936508
Mohit Rathee,12,3,25.0
RV Patel,20,5,25.0
R Goyal,24,6,25.0
Monu Kumar,16,4,25.0
M Shahrukh Khan,12,3,25.0
K Khejroliya,129,32,24.8062015503876
I Udana,182,45,24.725274725274726
DG Nalkande,89,22,24.719101123595504
Nithish Kumar Reddy,118,29,24.576271186440678
TP Sudhindra,74,18,24.324324324324326
Y Prithvi Raj,33,8,24.242424242424242
K Yadav,54,13,24.074074074074073
A Dananjaya,25,6,24.0
AA Noffke,25,6,24.0
J Syed Mohammad,196,47,23.97959183673469
Sikandar Raza,88,21,23.863636363636363
Vivrant Sharma,21,5,23.809523809523807
SD Chitnis,38,9,23.684210526315788
Swapnil Singh,165,39,23.636363636363637
B Laughlin,179,42,23.463687150837988
MK Lomror,94,22,23.404255319148938
T Shamsi,120,28,23.333333333333332
S Midhun,13,3,23.076923076923077
TK Curran,252,57,22.61904761904762
P Sahu,107,24,22.429906542056074
DJ Harris,18,4,22.22222222222222
DB Ravi Teja,18,4,22.22222222222222
L Ablish,45,10,22.22222222222222
R Ninan,36,8,22.22222222222222
Y Nagar,72,16,22.22222222222222
SA Abbott,59,13,22.033898305084744
P Amarnath,132,29,21.96969696969697
AUK Pathan,41,9,21.951219512195124
M Vijay,37,8,21.62162162162162
D Jansen,28,6,21.428571428571427
Mashrafe Mortaza,28,6,21.428571428571427
SZ Mulani,33,7,21.21212121212121
A Uniyal,38,8,21.052631578947366
L Wood,38,8,21.052631578947366
MB Parmar,19,4,21.052631578947366
AJ Hosein,24,5,20.833333333333336
R Sathish,144,30,20.833333333333336
WG Jacks,55,11,20.0
AS Raut,30,6,20.0
MK Tiwary,45,9,20.0
Abdul Samad,55,11,20.0
MG Neser,25,5,20.0
A Badoni,25,5,20.0
D Kalyankrishna,50,10,20.0
R Parag,181,36,19.88950276243094
V Kohli,264,52,19.696969696969695
S Dube,117,23,19.65811965811966
R Powell,21,4,19.047619047619047
VS Yeligati,32,6,18.75
GS Sandhu,48,9,18.75
LJ Wright,75,14,18.666666666666668
Sumit Kumar,22,4,18.181818181818183
VR Iyer,84,15,17.857142857142858
CL White,46,8,17.391304347826086
B Chipli,6,1,16.666666666666664
RA Shaikh,6,1,16.666666666666664
N Wadhera,12,2,16.666666666666664
Gulbadin Naib,6,1,16.666666666666664
Aman Hakim Khan,6,1,16.666666666666664
MA Khote,30,5,16.666666666666664
C Ganapathy,6,1,16.666666666666664
SS Sarkar,25,4,16.0
JPR Scantlebury-Searles,45,7,15.555555555555555
TM Head,58,9,15.517241379310345
AA Kazi,13,2,15.384615384615385
SE Rutherford,46,7,15.217391304347828
BJ Rohrer,7,1,14.285714285714285
SSB Magala,37,5,13.513513513513514
NA Saini,15,2,13.333333333333334
KS Williamson,18,2,11.11111111111111
S Sriram,18,2,11.11111111111111
LMP Simmons,18,2,11.11111111111111
SR Tendulkar,37,4,10.81081081081081
RG More,37,4,10.81081081081081
Shashank Singh,19,2,10.526315789473683
Naman Dhir,29,3,10.344827586206897
DJ Mitchell,51,5,9.803921568627452
P Ray Barman,24,2,8.333333333333332
JE Root,12,1,8.333333333333332
FY Fazal,12,1,8.333333333333332
Mandeep Singh,12,1,8.333333333333332
H Sharma,30,2,6.666666666666667
RW Price,18,1,5.555555555555555
