batter,total_runs,ball,run_rate
L Wood,9,3,18.0
R Sai Kishore,17,6,17.0
B Stanlake,5,2,15.0
J Fraser-McGurk,348,150,13.919999999999998
Umar Gul,44,19,13.894736842105264
KMDN Kulasekara,6,3,12.0
RS Sodhi,4,2,12.0
ER Dwivedi,29,15,11.6
R Shepherd,123,68,10.852941176470589
Naman Dhir,151,84,10.785714285714286
