season,winner,team_type,team,loss
2011,Royal Challengers Bangalore,team2,Kings XI Punjab,Kings XI Punjab
2011,Kolkata Knight Riders,team2,Chennai Super Kings,Chennai Super Kings
2011,Mumbai Indians,team2,Delhi Daredevils,Delhi Daredevils
2011,Royal Challengers Bangalore,team2,Kochi Tuskers Kerala,Kochi Tuskers Kerala
2011,Pune Warriors,team2,Pune Warriors,Pune Warriors
2011,Chennai Super Kings,team2,Chennai Super Kings,Chennai Super Kings
2011,Pune Warriors,team2,Pune Warriors,Pune Warriors
2011,Kings XI Punjab,team2,Mumbai Indians,Mumbai Indians
2011,Royal Challengers Bangalore,team2,Royal Challengers Bangalore,Royal Challengers Bangalore
2011,Chennai Super Kings,team2,Delhi Daredevils,Delhi Daredevils
2011,Kings XI Punjab,team2,Kings XI Punjab,Kings XI Punjab
2011,Royal Challengers Bangalore,team2,Kolkata Knight Riders,Kolkata Knight Riders
2011,Deccan Chargers,team2,Deccan Chargers,Deccan Chargers
2011,Kings XI Punjab,team2,Delhi Daredevils,Delhi Daredevils
2011,Kochi Tuskers Kerala,team2,Rajasthan Royals,Rajasthan Royals
2011,Deccan Chargers,team2,Deccan Chargers,Deccan Chargers
2011,Kings XI Punjab,team2,Royal Challengers Bangalore,Royal Challengers Bangalore
2011,Chennai Super Kings,team2,Kochi Tuskers Kerala,Kochi Tuskers Kerala
2011,Kolkata Knight Riders,team2,Kolkata Knight Riders,Kolkata Knight Riders
2011,Rajasthan Royals,team2,Rajasthan Royals,Rajasthan Royals
2011,Deccan Chargers,team2,Deccan Chargers,Deccan Chargers
2011,Royal Challengers Bangalore,team2,Chennai Super Kings,Chennai Super Kings
2011,Mumbai Indians,team2,Mumbai Indians,Mumbai Indians
2011,Chennai Super Kings,team2,Chennai Super Kings,Chennai Super Kings
2011,Mumbai Indians,team2,Kolkata Knight Riders,Kolkata Knight Riders
2011,Royal Challengers Bangalore,team2,Mumbai Indians,Mumbai Indians
2011,Chennai Super Kings,team2,Royal Challengers Bangalore,Royal Challengers Bangalore
2012,Mumbai Indians,team2,Mumbai Indians,Mumbai Indians
2012,Delhi Daredevils,team2,Delhi Daredevils,Delhi Daredevils
2012,Pune Warriors,team2,Pune Warriors,Pune Warriors
2012,Rajasthan Royals,team2,Kings XI Punjab,Kings XI Punjab
2012,Royal Challengers Bangalore,team2,Delhi Daredevils,Delhi Daredevils
2012,Chennai Super Kings,team2,Chennai Super Kings,Chennai Super Kings
2012,Rajasthan Royals,team2,Kolkata Knight Riders,Kolkata Knight Riders
2012,Pune Warriors,team2,Kings XI Punjab,Kings XI Punjab
2012,Mumbai Indians,team2,Mumbai Indians,Mumbai Indians
2012,Kolkata Knight Riders,team2,Kolkata Knight Riders,Kolkata Knight Riders
2012,Delhi Daredevils,team2,Chennai Super Kings,Chennai Super Kings
2012,Mumbai Indians,team2,Rajasthan Royals,Rajasthan Royals
2012,Chennai Super Kings,team2,Royal Challengers Bangalore,Royal Challengers Bangalore
2012,Kings XI Punjab,team2,Pune Warriors,Pune Warriors
2012,Kolkata Knight Riders,team2,Rajasthan Royals,Rajasthan Royals
2012,Pune Warriors,team2,Chennai Super Kings,Chennai Super Kings
2012,Kings XI Punjab,team2,Kings XI Punjab,Kings XI Punjab
2012,Rajasthan Royals,team2,Rajasthan Royals,Rajasthan Royals
2012,Delhi Daredevils,team2,Delhi Daredevils,Delhi Daredevils
2012,Rajasthan Royals,team2,Deccan Chargers,Deccan Chargers
2012,Royal Challengers Bangalore,team2,Pune Warriors,Pune Warriors
2012,Kolkata Knight Riders,team2,Kolkata Knight Riders,Kolkata Knight Riders
2012,Delhi Daredevils,team2,Deccan Chargers,Deccan Chargers
2012,Chennai Super Kings,team2,Pune Warriors,Pune Warriors
2012,Royal Challengers Bangalore,team2,Royal Challengers Bangalore,Royal Challengers Bangalore
2012,Chennai Super Kings,team2,Rajasthan Royals,Rajasthan Royals
2012,Pune Warriors,team2,Pune Warriors,Pune Warriors
2012,Kings XI Punjab,team2,Kings XI Punjab,Kings XI Punjab
2012,Kolkata Knight Riders,team2,Kolkata Knight Riders,Kolkata Knight Riders
2012,Royal Challengers Bangalore,team2,Royal Challengers Bangalore,Royal Challengers Bangalore
2012,Delhi Daredevils,team2,Delhi Daredevils,Delhi Daredevils
2012,Mumbai Indians,team2,Mumbai Indians,Mumbai Indians
2012,Deccan Chargers,team2,Deccan Chargers,Deccan Chargers
2012,Delhi Daredevils,team2,Mumbai Indians,Mumbai Indians
2012,Kings XI Punjab,team2,Kings XI Punjab,Kings XI Punjab
2012,Kolkata Knight Riders,team2,Royal Challengers Bangalore,Royal Challengers Bangalore
2012,Delhi Daredevils,team2,Rajasthan Royals,Rajasthan Royals
2012,Mumbai Indians,team2,Deccan Chargers,Deccan Chargers
2012,Kolkata Knight Riders,team2,Kolkata Knight Riders,Kolkata Knight Riders
2012,Deccan Chargers,team2,Pune Warriors,Pune Warriors
2012,Delhi Daredevils,team2,Delhi Daredevils,Delhi Daredevils
2012,Kings XI Punjab,team2,Kings XI Punjab,Kings XI Punjab
2012,Mumbai Indians,team2,Mumbai Indians,Mumbai Indians
2012,Chennai Super Kings,team2,Deccan Chargers,Deccan Chargers
2012,Kolkata Knight Riders,team2,Pune Warriors,Pune Warriors
2012,Rajasthan Royals,team2,Rajasthan Royals,Rajasthan Royals
2012,Mumbai Indians,team2,Chennai Super Kings,Chennai Super Kings
2012,Royal Challengers Bangalore,team2,Deccan Chargers,Deccan Chargers
2012,Kolkata Knight Riders,team2,Kolkata Knight Riders,Kolkata Knight Riders
2012,Rajasthan Royals,team2,Rajasthan Royals,Rajasthan Royals
2012,Kings XI Punjab,team2,Kings XI Punjab,Kings XI Punjab
2012,Royal Challengers Bangalore,team2,Royal Challengers Bangalore,Royal Challengers Bangalore
2012,Delhi Daredevils,team2,Delhi Daredevils,Delhi Daredevils
2012,Chennai Super Kings,team2,Chennai Super Kings,Chennai Super Kings
2012,Royal Challengers Bangalore,team2,Royal Challengers Bangalore,Royal Challengers Bangalore
2012,Mumbai Indians,team2,Mumbai Indians,Mumbai Indians
2012,Chennai Super Kings,team2,Delhi Daredevils,Delhi Daredevils
2012,Rajasthan Royals,team2,Pune Warriors,Pune Warriors
2012,Kings XI Punjab,team2,Deccan Chargers,Deccan Chargers
2012,Mumbai Indians,team2,Mumbai Indians,Mumbai Indians
2012,Chennai Super Kings,team2,Chennai Super Kings,Chennai Super Kings
2012,Delhi Daredevils,team2,Kings XI Punjab,Kings XI Punjab
2012,Kolkata Knight Riders,team2,Kolkata Knight Riders,Kolkata Knight Riders
2012,Kings XI Punjab,team2,Chennai Super Kings,Chennai Super Kings
2012,Royal Challengers Bangalore,team2,Royal Challengers Bangalore,Royal Challengers Bangalore
2012,Deccan Chargers,team2,Rajasthan Royals,Rajasthan Royals
2012,Delhi Daredevils,team2,Delhi Daredevils,Delhi Daredevils
2012,Kolkata Knight Riders,team2,Kolkata Knight Riders,Kolkata Knight Riders
2012,Deccan Chargers,team2,Royal Challengers Bangalore,Royal Challengers Bangalore
2012,Mumbai Indians,team2,Mumbai Indians,Mumbai Indians
2012,Kolkata Knight Riders,team2,Kolkata Knight Riders,Kolkata Knight Riders
2012,Chennai Super Kings,team2,Mumbai Indians,Mumbai Indians
2012,Chennai Super Kings,team2,Chennai Super Kings,Chennai Super Kings
2012,Kolkata Knight Riders,team2,Chennai Super Kings,Chennai Super Kings
2013,Kolkata Knight Riders,team2,Delhi Daredevils,Delhi Daredevils
2013,Royal Challengers Bangalore,team2,Mumbai Indians,Mumbai Indians
2013,Sunrisers Hyderabad,team2,Pune Warriors,Pune Warriors
2013,Rajasthan Royals,team2,Rajasthan Royals,Rajasthan Royals
2013,Mumbai Indians,team2,Mumbai Indians,Mumbai Indians
2013,Kings XI Punjab,team2,Kings XI Punjab,Kings XI Punjab
2013,Sunrisers Hyderabad,team2,Royal Challengers Bangalore,Royal Challengers Bangalore
2013,Rajasthan Royals,team2,Kolkata Knight Riders,Kolkata Knight Riders
2013,Mumbai Indians,team2,Delhi Daredevils,Delhi Daredevils
2013,Royal Challengers Bangalore,team2,Sunrisers Hyderabad,Sunrisers Hyderabad
2013,Chennai Super Kings,team2,Chennai Super Kings,Chennai Super Kings
2013,Royal Challengers Bangalore,team2,Kolkata Knight Riders,Kolkata Knight Riders
2013,Pune Warriors,team2,Rajasthan Royals,Rajasthan Royals
2013,Sunrisers Hyderabad,team2,Sunrisers Hyderabad,Sunrisers Hyderabad
2013,Mumbai Indians,team2,Pune Warriors,Pune Warriors
2013,Chennai Super Kings,team2,Royal Challengers Bangalore,Royal Challengers Bangalore
2013,Kolkata Knight Riders,team2,Sunrisers Hyderabad,Sunrisers Hyderabad
2013,Rajasthan Royals,team2,Kings XI Punjab,Kings XI Punjab
2013,Pune Warriors,team2,Pune Warriors,Pune Warriors
2013,Kings XI Punjab,team2,Kolkata Knight Riders,Kolkata Knight Riders
2013,Royal Challengers Bangalore,team2,Delhi Daredevils,Delhi Daredevils
2013,Sunrisers Hyderabad,team2,Sunrisers Hyderabad,Sunrisers Hyderabad
2013,Rajasthan Royals,team2,Mumbai Indians,Mumbai Indians
2013,Chennai Super Kings,team2,Chennai Super Kings,Chennai Super Kings
2013,Sunrisers Hyderabad,team2,Kings XI Punjab,Kings XI Punjab
2013,Chennai Super Kings,team2,Chennai Super Kings,Chennai Super Kings
2013,Royal Challengers Bangalore,team2,Rajasthan Royals,Rajasthan Royals
2013,Delhi Daredevils,team2,Mumbai Indians,Mumbai Indians
2013,Kings XI Punjab,team2,Pune Warriors,Pune Warriors
2013,Chennai Super Kings,team2,Rajasthan Royals,Rajasthan Royals
2013,Royal Challengers Bangalore,team2,Pune Warriors,Pune Warriors
2013,Kings XI Punjab,team2,Kings XI Punjab,Kings XI Punjab
2013,Mumbai Indians,team2,Mumbai Indians,Mumbai Indians
2013,Chennai Super Kings,team2,Sunrisers Hyderabad,Sunrisers Hyderabad
2013,Kolkata Knight Riders,team2,Kings XI Punjab,Kings XI Punjab
2013,Rajasthan Royals,team2,Sunrisers Hyderabad,Sunrisers Hyderabad
2013,Mumbai Indians,team2,Royal Challengers Bangalore,Royal Challengers Bangalore
2013,Chennai Super Kings,team2,Kolkata Knight Riders,Kolkata Knight Riders
2013,Delhi Daredevils,team2,Pune Warriors,Pune Warriors
2013,Rajasthan Royals,team2,Royal Challengers Bangalore,Royal Challengers Bangalore
2013,Mumbai Indians,team2,Kings XI Punjab,Kings XI Punjab
2013,Chennai Super Kings,team2,Chennai Super Kings,Chennai Super Kings
2013,Sunrisers Hyderabad,team2,Mumbai Indians,Mumbai Indians
2013,Delhi Daredevils,team2,Kolkata Knight Riders,Kolkata Knight Riders
2013,Chennai Super Kings,team2,Kings XI Punjab,Kings XI Punjab
2013,Royal Challengers Bangalore,team2,Royal Challengers Bangalore,Royal Challengers Bangalore
2013,Kolkata Knight Riders,team2,Rajasthan Royals,Rajasthan Royals
2013,Sunrisers Hyderabad,team2,Delhi Daredevils,Delhi Daredevils
2013,Mumbai Indians,team2,Chennai Super Kings,Chennai Super Kings
2013,Rajasthan Royals,team2,Pune Warriors,Pune Warriors
2013,Kings XI Punjab,team2,Royal Challengers Bangalore,Royal Challengers Bangalore
2013,Rajasthan Royals,team2,Delhi Daredevils,Delhi Daredevils
2013,Mumbai Indians,team2,Kolkata Knight Riders,Kolkata Knight Riders
2013,Chennai Super Kings,team2,Chennai Super Kings,Chennai Super Kings
2013,Rajasthan Royals,team2,Rajasthan Royals,Rajasthan Royals
2013,Kolkata Knight Riders,team2,Kolkata Knight Riders,Kolkata Knight Riders
2013,Royal Challengers Bangalore,team2,Royal Challengers Bangalore,Royal Challengers Bangalore
2013,Mumbai Indians,team2,Mumbai Indians,Mumbai Indians
2013,Sunrisers Hyderabad,team2,Sunrisers Hyderabad,Sunrisers Hyderabad
2013,Kolkata Knight Riders,team2,Royal Challengers Bangalore,Royal Challengers Bangalore
2013,Rajasthan Royals,team2,Chennai Super Kings,Chennai Super Kings
2013,Mumbai Indians,team2,Sunrisers Hyderabad,Sunrisers Hyderabad
2013,Kings XI Punjab,team2,Kings XI Punjab,Kings XI Punjab
2013,Chennai Super Kings,team2,Delhi Daredevils,Delhi Daredevils
2013,Pune Warriors,team2,Pune Warriors,Pune Warriors
2013,Mumbai Indians,team2,Rajasthan Royals,Rajasthan Royals
2013,Kings XI Punjab,team2,Delhi Daredevils,Delhi Daredevils
2013,Sunrisers Hyderabad,team2,Rajasthan Royals,Rajasthan Royals
2013,Kings XI Punjab,team2,Mumbai Indians,Mumbai Indians
2013,Royal Challengers Bangalore,team2,Chennai Super Kings,Chennai Super Kings
2013,Pune Warriors,team2,Delhi Daredevils,Delhi Daredevils
2013,Sunrisers Hyderabad,team2,Kolkata Knight Riders,Kolkata Knight Riders
2013,Chennai Super Kings,team2,Mumbai Indians,Mumbai Indians
2013,Rajasthan Royals,team2,Sunrisers Hyderabad,Sunrisers Hyderabad
2013,Mumbai Indians,team2,Rajasthan Royals,Rajasthan Royals
2013,Mumbai Indians,team2,Mumbai Indians,Mumbai Indians
2014,Kolkata Knight Riders,team2,Kolkata Knight Riders,Kolkata Knight Riders
2014,Royal Challengers Bangalore,team2,Royal Challengers Bangalore,Royal Challengers Bangalore
2014,Kings XI Punjab,team2,Kings XI Punjab,Kings XI Punjab
2014,Rajasthan Royals,team2,Rajasthan Royals,Rajasthan Royals
2014,Royal Challengers Bangalore,team2,Mumbai Indians,Mumbai Indians
2014,Delhi Daredevils,team2,Delhi Daredevils,Delhi Daredevils
2014,Kings XI Punjab,team2,Kings XI Punjab,Kings XI Punjab
2014,Chennai Super Kings,team2,Delhi Daredevils,Delhi Daredevils
2014,Kings XI Punjab,team2,Sunrisers Hyderabad,Sunrisers Hyderabad
2014,Chennai Super Kings,team2,Chennai Super Kings,Chennai Super Kings
2014,Kolkata Knight Riders,team2,Kolkata Knight Riders,Kolkata Knight Riders
2014,Sunrisers Hyderabad,team2,Delhi Daredevils,Delhi Daredevils
2014,Chennai Super Kings,team2,Mumbai Indians,Mumbai Indians
2014,Rajasthan Royals,team2,Royal Challengers Bangalore,Royal Challengers Bangalore
2014,Kings XI Punjab,team2,Kings XI Punjab,Kings XI Punjab
2014,Delhi Daredevils,team2,Mumbai Indians,Mumbai Indians
2014,Chennai Super Kings,team2,Chennai Super Kings,Chennai Super Kings
2014,Kings XI Punjab,team2,Royal Challengers Bangalore,Royal Challengers Bangalore
2014,Rajasthan Royals,team2,Rajasthan Royals,Rajasthan Royals
2014,Sunrisers Hyderabad,team2,Sunrisers Hyderabad,Sunrisers Hyderabad
2014,Chennai Super Kings,team2,Kolkata Knight Riders,Kolkata Knight Riders
2014,Mumbai Indians,team2,Kings XI Punjab,Kings XI Punjab
2014,Rajasthan Royals,team2,Rajasthan Royals,Rajasthan Royals
2014,Royal Challengers Bangalore,team2,Sunrisers Hyderabad,Sunrisers Hyderabad
2014,Rajasthan Royals,team2,Kolkata Knight Riders,Kolkata Knight Riders
2014,Chennai Super Kings,team2,Chennai Super Kings,Chennai Super Kings
2014,Mumbai Indians,team2,Royal Challengers Bangalore,Royal Challengers Bangalore
2014,Kolkata Knight Riders,team2,Kolkata Knight Riders,Kolkata Knight Riders
2014,Kings XI Punjab,team2,Chennai Super Kings,Chennai Super Kings
2014,Sunrisers Hyderabad,team2,Sunrisers Hyderabad,Sunrisers Hyderabad
2014,Kings XI Punjab,team2,Kings XI Punjab,Kings XI Punjab
2014,Sunrisers Hyderabad,team2,Sunrisers Hyderabad,Sunrisers Hyderabad
2014,Chennai Super Kings,team2,Chennai Super Kings,Chennai Super Kings
2014,Kolkata Knight Riders,team2,Kolkata Knight Riders,Kolkata Knight Riders
2014,Rajasthan Royals,team2,Rajasthan Royals,Rajasthan Royals
2014,Mumbai Indians,team2,Mumbai Indians,Mumbai Indians
2014,Chennai Super Kings,team2,Rajasthan Royals,Rajasthan Royals
2014,Royal Challengers Bangalore,team2,Delhi Daredevils,Delhi Daredevils
2014,Kings XI Punjab,team2,Kings XI Punjab,Kings XI Punjab
2014,Kolkata Knight Riders,team2,Mumbai Indians,Mumbai Indians
2014,Rajasthan Royals,team2,Delhi Daredevils,Delhi Daredevils
2014,Royal Challengers Bangalore,team2,Royal Challengers Bangalore,Royal Challengers Bangalore
2014,Kolkata Knight Riders,team2,Kolkata Knight Riders,Kolkata Knight Riders
2014,Mumbai Indians,team2,Mumbai Indians,Mumbai Indians
2014,Kings XI Punjab,team2,Kings XI Punjab,Kings XI Punjab
2014,Sunrisers Hyderabad,team2,Royal Challengers Bangalore,Royal Challengers Bangalore
2014,Kolkata Knight Riders,team2,Chennai Super Kings,Chennai Super Kings
2014,Mumbai Indians,team2,Mumbai Indians,Mumbai Indians
2014,Kolkata Knight Riders,team2,Royal Challengers Bangalore,Royal Challengers Bangalore
2014,Sunrisers Hyderabad,team2,Sunrisers Hyderabad,Sunrisers Hyderabad
2014,Mumbai Indians,team2,Delhi Daredevils,Delhi Daredevils
2014,Kings XI Punjab,team2,Rajasthan Royals,Rajasthan Royals
2014,Chennai Super Kings,team2,Chennai Super Kings,Chennai Super Kings
2014,Kolkata Knight Riders,team2,Sunrisers Hyderabad,Sunrisers Hyderabad
2014,Kings XI Punjab,team2,Delhi Daredevils,Delhi Daredevils
2014,Mumbai Indians,team2,Rajasthan Royals,Rajasthan Royals
2014,Kolkata Knight Riders,team2,Kolkata Knight Riders,Kolkata Knight Riders
2014,Chennai Super Kings,team2,Mumbai Indians,Mumbai Indians
2014,Kings XI Punjab,team2,Kings XI Punjab,Kings XI Punjab
2014,Kolkata Knight Riders,team2,Kings XI Punjab,Kings XI Punjab
2015,Kolkata Knight Riders,team2,Mumbai Indians,Mumbai Indians
2015,Chennai Super Kings,team2,Delhi Daredevils,Delhi Daredevils
2015,Rajasthan Royals,team2,Rajasthan Royals,Rajasthan Royals
2015,Chennai Super Kings,team2,Sunrisers Hyderabad,Sunrisers Hyderabad
2015,Royal Challengers Bangalore,team2,Royal Challengers Bangalore,Royal Challengers Bangalore
2015,Rajasthan Royals,team2,Rajasthan Royals,Rajasthan Royals
2015,Kings XI Punjab,team2,Kings XI Punjab,Kings XI Punjab
2015,Sunrisers Hyderabad,team2,Sunrisers Hyderabad,Sunrisers Hyderabad
2015,Rajasthan Royals,team2,Mumbai Indians,Mumbai Indians
2015,Delhi Daredevils,team2,Delhi Daredevils,Delhi Daredevils
2015,Rajasthan Royals,team2,Rajasthan Royals,Rajasthan Royals
2015,Chennai Super Kings,team2,Chennai Super Kings,Chennai Super Kings
2015,Delhi Daredevils,team2,Delhi Daredevils,Delhi Daredevils
2015,Kolkata Knight Riders,team2,Kolkata Knight Riders,Kolkata Knight Riders
2015,Rajasthan Royals,team2,Chennai Super Kings,Chennai Super Kings
2015,Mumbai Indians,team2,Mumbai Indians,Mumbai Indians
2015,Kolkata Knight Riders,team2,Kolkata Knight Riders,Kolkata Knight Riders
2015,Kings XI Punjab,team2,Kings XI Punjab,Kings XI Punjab
2015,Sunrisers Hyderabad,team2,Kolkata Knight Riders,Kolkata Knight Riders
2015,Chennai Super Kings,team2,Chennai Super Kings,Chennai Super Kings
2015,Delhi Daredevils,team2,Mumbai Indians,Mumbai Indians
2015,Royal Challengers Bangalore,team2,Royal Challengers Bangalore,Royal Challengers Bangalore
2015,Mumbai Indians,team2,Sunrisers Hyderabad,Sunrisers Hyderabad
2015,Chennai Super Kings,team2,Kings XI Punjab,Kings XI Punjab
2015,Royal Challengers Bangalore,team2,Royal Challengers Bangalore,Royal Challengers Bangalore
2015,Sunrisers Hyderabad,team2,Sunrisers Hyderabad,Sunrisers Hyderabad
2015,Chennai Super Kings,team2,Kolkata Knight Riders,Kolkata Knight Riders
2015,Kolkata Knight Riders,team2,Chennai Super Kings,Chennai Super Kings
2015,Delhi Daredevils,team2,Kings XI Punjab,Kings XI Punjab
2015,Mumbai Indians,team2,Rajasthan Royals,Rajasthan Royals
2015,Royal Challengers Bangalore,team2,Kolkata Knight Riders,Kolkata Knight Riders
2015,Sunrisers Hyderabad,team2,Chennai Super Kings,Chennai Super Kings
2015,Mumbai Indians,team2,Mumbai Indians,Mumbai Indians
2015,Rajasthan Royals,team2,Delhi Daredevils,Delhi Daredevils
2015,Chennai Super Kings,team2,Royal Challengers Bangalore,Royal Challengers Bangalore
2015,Kolkata Knight Riders,team2,Sunrisers Hyderabad,Sunrisers Hyderabad
2015,Mumbai Indians,team2,Delhi Daredevils,Delhi Daredevils
2015,Royal Challengers Bangalore,team2,Kings XI Punjab,Kings XI Punjab
2015,Kolkata Knight Riders,team2,Delhi Daredevils,Delhi Daredevils
2015,Sunrisers Hyderabad,team2,Sunrisers Hyderabad,Sunrisers Hyderabad
2015,Mumbai Indians,team2,Mumbai Indians,Mumbai Indians
2015,Kolkata Knight Riders,team2,Kings XI Punjab,Kings XI Punjab
2015,Sunrisers Hyderabad,team2,Sunrisers Hyderabad,Sunrisers Hyderabad
2015,Royal Challengers Bangalore,team2,Royal Challengers Bangalore,Royal Challengers Bangalore
2015,Chennai Super Kings,team2,Rajasthan Royals,Rajasthan Royals
2015,Sunrisers Hyderabad,team2,Kings XI Punjab,Kings XI Punjab
2015,Delhi Daredevils,team2,Chennai Super Kings,Chennai Super Kings
2015,Kings XI Punjab,team2,Royal Challengers Bangalore,Royal Challengers Bangalore
2015,Mumbai Indians,team2,Kolkata Knight Riders,Kolkata Knight Riders
2015,Royal Challengers Bangalore,team2,Royal Challengers Bangalore,Royal Challengers Bangalore
2015,Chennai Super Kings,team2,Chennai Super Kings,Chennai Super Kings
2015,Rajasthan Royals,team2,Kolkata Knight Riders,Kolkata Knight Riders
2015,Mumbai Indians,team2,Mumbai Indians,Mumbai Indians
2015,Mumbai Indians,team2,Mumbai Indians,Mumbai Indians
2015,Royal Challengers Bangalore,team2,Rajasthan Royals,Rajasthan Royals
2015,Chennai Super Kings,team2,Royal Challengers Bangalore,Royal Challengers Bangalore
2015,Mumbai Indians,team2,Chennai Super Kings,Chennai Super Kings
2016,Rising Pune Supergiants,team2,Rising Pune Supergiants,Rising Pune Supergiants
2016,Kolkata Knight Riders,team2,Delhi Daredevils,Delhi Daredevils
2016,Gujarat Lions,team2,Gujarat Lions,Gujarat Lions
2016,Royal Challengers Bangalore,team2,Sunrisers Hyderabad,Sunrisers Hyderabad
2016,Mumbai Indians,team2,Mumbai Indians,Mumbai Indians
2016,Gujarat Lions,team2,Rising Pune Supergiants,Rising Pune Supergiants
2016,Delhi Daredevils,team2,Kings XI Punjab,Kings XI Punjab
2016,Kolkata Knight Riders,team2,Kolkata Knight Riders,Kolkata Knight Riders
2016,Gujarat Lions,team2,Gujarat Lions,Gujarat Lions
2016,Kings XI Punjab,team2,Rising Pune Supergiants,Rising Pune Supergiants
2016,Delhi Daredevils,team2,Delhi Daredevils,Delhi Daredevils
2016,Sunrisers Hyderabad,team2,Mumbai Indians,Mumbai Indians
2016,Kolkata Knight Riders,team2,Kolkata Knight Riders,Kolkata Knight Riders
2016,Mumbai Indians,team2,Royal Challengers Bangalore,Royal Challengers Bangalore
2016,Sunrisers Hyderabad,team2,Sunrisers Hyderabad,Sunrisers Hyderabad
2016,Royal Challengers Bangalore,team2,Royal Challengers Bangalore,Royal Challengers Bangalore
2016,Delhi Daredevils,team2,Mumbai Indians,Mumbai Indians
2016,Sunrisers Hyderabad,team2,Kings XI Punjab,Kings XI Punjab
2016,Gujarat Lions,team2,Royal Challengers Bangalore,Royal Challengers Bangalore
2016,Kolkata Knight Riders,team2,Kolkata Knight Riders,Kolkata Knight Riders
2016,Mumbai Indians,team2,Mumbai Indians,Mumbai Indians
2016,Rising Pune Supergiants,team2,Rising Pune Supergiants,Rising Pune Supergiants
2016,Gujarat Lions,team2,Gujarat Lions,Gujarat Lions
2016,Mumbai Indians,team2,Kolkata Knight Riders,Kolkata Knight Riders
2016,Gujarat Lions,team2,Gujarat Lions,Gujarat Lions
2016,Delhi Daredevils,team2,Kolkata Knight Riders,Kolkata Knight Riders
2016,Sunrisers Hyderabad,team2,Royal Challengers Bangalore,Royal Challengers Bangalore
2016,Kings XI Punjab,team2,Kings XI Punjab,Kings XI Punjab
2016,Mumbai Indians,team2,Mumbai Indians,Mumbai Indians
2016,Kolkata Knight Riders,team2,Kolkata Knight Riders,Kolkata Knight Riders
2016,Delhi Daredevils,team2,Delhi Daredevils,Delhi Daredevils
2016,Kolkata Knight Riders,team2,Kings XI Punjab,Kings XI Punjab
2016,Rising Pune Supergiants,team2,Rising Pune Supergiants,Rising Pune Supergiants
2016,Sunrisers Hyderabad,team2,Gujarat Lions,Gujarat Lions
2016,Royal Challengers Bangalore,team2,Rising Pune Supergiants,Rising Pune Supergiants
2016,Kings XI Punjab,team2,Delhi Daredevils,Delhi Daredevils
2016,Sunrisers Hyderabad,team2,Sunrisers Hyderabad,Sunrisers Hyderabad
2016,Gujarat Lions,team2,Gujarat Lions,Gujarat Lions
2016,Royal Challengers Bangalore,team2,Royal Challengers Bangalore,Royal Challengers Bangalore
2016,Sunrisers Hyderabad,team2,Sunrisers Hyderabad,Sunrisers Hyderabad
2016,Mumbai Indians,team2,Mumbai Indians,Mumbai Indians
2016,Delhi Daredevils,team2,Delhi Daredevils,Delhi Daredevils
2016,Kings XI Punjab,team2,Kings XI Punjab,Kings XI Punjab
2016,Royal Challengers Bangalore,team2,Gujarat Lions,Gujarat Lions
2016,Kolkata Knight Riders,team2,Rising Pune Supergiants,Rising Pune Supergiants
2016,Sunrisers Hyderabad,team2,Sunrisers Hyderabad,Sunrisers Hyderabad
2016,Mumbai Indians,team2,Delhi Daredevils,Delhi Daredevils
2016,Royal Challengers Bangalore,team2,Royal Challengers Bangalore,Royal Challengers Bangalore
2016,Rising Pune Supergiants,team2,Delhi Daredevils,Delhi Daredevils
2016,Royal Challengers Bangalore,team2,Kings XI Punjab,Kings XI Punjab
2016,Gujarat Lions,team2,Kolkata Knight Riders,Kolkata Knight Riders
2016,Delhi Daredevils,team2,Sunrisers Hyderabad,Sunrisers Hyderabad
2016,Rising Pune Supergiants,team2,Kings XI Punjab,Kings XI Punjab
2016,Gujarat Lions,team2,Mumbai Indians,Mumbai Indians
2016,Kolkata Knight Riders,team2,Sunrisers Hyderabad,Sunrisers Hyderabad
2016,Royal Challengers Bangalore,team2,Royal Challengers Bangalore,Royal Challengers Bangalore
2016,Royal Challengers Bangalore,team2,Royal Challengers Bangalore,Royal Challengers Bangalore
2016,Sunrisers Hyderabad,team2,Kolkata Knight Riders,Kolkata Knight Riders
2016,Sunrisers Hyderabad,team2,Sunrisers Hyderabad,Sunrisers Hyderabad
2016,Sunrisers Hyderabad,team2,Sunrisers Hyderabad,Sunrisers Hyderabad
2017,Sunrisers Hyderabad,team2,Royal Challengers Bangalore,Royal Challengers Bangalore
2017,Rising Pune Supergiant,team2,Mumbai Indians,Mumbai Indians
2017,Kolkata Knight Riders,team2,Kolkata Knight Riders,Kolkata Knight Riders
2017,Kings XI Punjab,team2,Rising Pune Supergiant,Rising Pune Supergiant
2017,Royal Challengers Bangalore,team2,Delhi Daredevils,Delhi Daredevils
2017,Sunrisers Hyderabad,team2,Gujarat Lions,Gujarat Lions
2017,Mumbai Indians,team2,Kolkata Knight Riders,Kolkata Knight Riders
2017,Kings XI Punjab,team2,Royal Challengers Bangalore,Royal Challengers Bangalore
2017,Delhi Daredevils,team2,Delhi Daredevils,Delhi Daredevils
2017,Mumbai Indians,team2,Sunrisers Hyderabad,Sunrisers Hyderabad
2017,Kolkata Knight Riders,team2,Kings XI Punjab,Kings XI Punjab
2017,Mumbai Indians,team2,Mumbai Indians,Mumbai Indians
2017,Gujarat Lions,team2,Rising Pune Supergiant,Rising Pune Supergiant
