venue
77
73
65
60
49
48
47
46
45
35
29
28
28
24
22
20
17
17
16
16
16
15
15
15
14
14
14
13
13
13
12
12
11
10
10
10
10
9
9
9
8
8
7
7
7
7
6
5
5
5
4
4
3
3
3
3
2
2
