venue,Chennai Super Kings,Deccan Chargers,Delhi Capitals,Delhi Daredevils,Gujarat Lions,Gujarat Titans,Kings XI Punjab,Kochi Tuskers Kerala,Kolkata Knight Riders,Lucknow Super Giants,Mumbai Indians,Pune Warriors,Punjab Kings,Rajasthan Royals,Rising Pune Supergiant,Rising Pune Supergiants,Royal Challengers Bangalore,Royal Challengers Bengaluru,Sunrisers Hyderabad
OUTsurance Oval,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Punjab Cricket Association IS Bindra Stadium,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"Punjab Cricket Association IS Bindra Stadium, Mohali",0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"Punjab Cricket Association Stadium, Mohali",3.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,2.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0
Rajiv Gandhi International Stadium,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
"Rajiv Gandhi International Stadium, Uppal",2.0,3.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0,5.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,20.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,6.0
"Sardar Patel Stadium, Motera",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0
Saurashtra Cricket Association Stadium,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Sawai Mansingh Stadium,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,32.0,0.0,0.0,3.0,0.0,1.0
"Sawai Mansingh Stadium, Jaipur",0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0
Shaheed Veer Narayan Singh International Stadium,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Sharjah Cricket Stadium,3.0,0.0,4.0,1.0,0.0,0.0,4.0,0.0,5.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,2.0
Sheikh Zayed Stadium,3.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,2.0
St George's Park,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Subrata Roy Sahara Stadium,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
SuperSport Park,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
"Vidarbha Cricket Association Stadium, Jamtha",0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Wankhede Stadium,7.0,1.0,1.0,2.0,1.0,0.0,5.0,1.0,1.0,0.0,42.0,1.0,0.0,4.0,2.0,1.0,3.0,0.0,1.0
"Wankhede Stadium, Mumbai",6.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,3.0,10.0,0.0,4.0,6.0,0.0,0.0,5.0,0.0,1.0
"Zayed Cricket Stadium, Abu Dhabi",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
